file_name,motif_type,target,group,model,F1_Scores,F1
,Z-turn,R1205,dfr - 165,5,,
,Platform,R1205,dfr - 165,5,,
,Bulged-G,R1205,dfr - 165,5,,
,A-minor,R1205,dfr - 165,5,,
,Tandem-GA-Sheared,R1205,dfr - 165,5,,
,Intercalated nucleotide,R1205,dfr - 165,5,,0.0
,Docked A,R1205,dfr - 165,5,,
,Loop-E Submotif,R1261,RNA_Dojo - 006,3,,
,Intercalated T-Loop,R1261,RNA_Dojo - 006,3,,
,GNRA Tetraloop,R1261,RNA_Dojo - 006,3,,
,T-loop,R1261,RNA_Dojo - 006,3,,
,Tetraloop-receptor,R1261,RNA_Dojo - 006,3,,
,U-turn,R1261,RNA_Dojo - 006,3,,
,GA-minor,R1261,RNA_Dojo - 006,3,,
,UA-handle,R1261,RNA_Dojo - 006,3,,
,Z-turn,R1261,RNA_Dojo - 006,3,,
,Platform,R1261,RNA_Dojo - 006,3,,
,Bulged-G,R1261,RNA_Dojo - 006,3,,
,A-minor,R1261,RNA_Dojo - 006,3,,
,Tandem-GA-Sheared,R1261,RNA_Dojo - 006,3,,
,Intercalated nucleotide,R1261,RNA_Dojo - 006,3,,
,Docked A,R1261,RNA_Dojo - 006,3,,
,Loop-E Submotif,R1261,RNA_Dojo - 006,2,,
,Intercalated T-Loop,R1261,RNA_Dojo - 006,2,,
,GNRA Tetraloop,R1261,RNA_Dojo - 006,2,,
,T-loop,R1261,RNA_Dojo - 006,2,,
,Tetraloop-receptor,R1261,RNA_Dojo - 006,2,,
,U-turn,R1261,RNA_Dojo - 006,2,,
,GA-minor,R1261,RNA_Dojo - 006,2,,
,UA-handle,R1261,RNA_Dojo - 006,2,,
,Z-turn,R1261,RNA_Dojo - 006,2,,
,Platform,R1261,RNA_Dojo - 006,2,,
,Bulged-G,R1261,RNA_Dojo - 006,2,,
