target,gr_code,lddt,tm_score,gdt_ts,inf_all,TM_align,inf_stack,inf_wc,inf_nwc,lddt_no_checks,global_rmsd,clashscore,clashes_number,Z_lddt,Z_tm_score,Z_gdt_ts,Z_inf_all,Z_TM_align,Z_inf_stack,Z_inf_wc,Z_inf_nwc,Z_lddt_no_checks,Z_global_rmsd,Z_clashscore,Z_clashes_number,Z_CASP15,Z_CASP16_t33_g33_l33,Z_CASP16_t30_g30_l40,Z_CASP16_t25_g25_l50,Z_CASP16_t20_g20_l60,Z_topo,Z_rmsd_inf
R1203,RNA_Dojo - 006,0.809,0.58,0.54,0.9,0.628,0.88,0.99,0.96,0.809,8.68,1.85,0.0,0.7730021656450621,0.2871014044916923,0.7892283294029718,0.6454748661379096,0.3870546520953229,0.7120718498723699,0.7027307894524799,0.9008904630228143,0.6939878173388281,0.5901473827636607,0.5046457199231159,0.28146513431780396,0.5682632233930732,0.6164439665132421,0.6320997864264241,0.655583516296197,0.6790672461659701,0.538164866947332,0.6178111244507851
R1203,RNApolis - 063,0.767,0.525,0.48,0.89,0.605,0.86,0.99,0.96,0.767,7.37,9.5,0.0,0.39132879656829406,-0.4441554289459034,-0.11274690420042359,0.492005317545679,0.1307069374876873,0.36372015353192977,0.7027307894524799,0.9008904630228143,0.2549029244899811,0.9658774469296848,-0.25137951296864497,0.28146513431780396,-0.1132188735417052,-0.0551911788593443,-0.010539181316580465,0.056438814997565284,0.12341681131171103,-0.2784511665731635,0.7289413822376819
R1203,SimRNA-server - S 094,0.116,0.282,0.26,0.75,0.379,0.74,0.91,0.33,0.55,15.71,95.65,11.0,-5.524608424121604,-3.6749810748611034,-3.4199894274128697,-1.6565683627455479,-2.388187997352556,-1.7263900245107096,-0.802330428902437,-2.4860015308730814,-2.0137023552290594,-1.4261750226463779,-8.765310730435992,-0.7926977252215702,-3.5542165680411495,-4.206526308798526,-4.338334520330834,-4.5360468376292955,-4.733759154927757,-3.5474852511369868,-1.5413716926959629
R1203,SoutheRNA - 156,0.595,0.605,0.51,0.89,0.659,0.87,0.98,0.87,0.824,9.99,4.63,0.0,-1.1717145244127547,0.6194908742360546,0.3382407126012741,0.492005317545679,0.7325667891751797,0.5378960017021498,0.5145981371581151,0.417048749609115,0.8508038504991294,0.2144173185976364,0.22990713855852835,0.28146513431780396,0.5062539364979213,-0.07132764585847534,-0.18136633371390326,-0.34642436549704514,-0.5114823972801871,0.47886579341866436,0.35321131807165773
R1203,Vfold - 481,0.75,0.525,0.44,0.87,0.577,0.84,0.98,0.83,0.75,9.79,0.69,0.0,0.23684195670388797,-0.4441554289459034,-0.7140637266026864,0.18506622036121778,-0.18136854116508655,0.015368457191489554,0.5145981371581151,0.20200798809191503,0.07717808690830488,0.27178068717260223,0.6192848402047424,0.28146513431780396,-0.3016854434237777,-0.3071257329482339,-0.2527289639830217,-0.17113381053520343,-0.0895386570873852,-0.5791095777742948,0.22842345376691
R1203,Yang-Multimer - S 456,0.729,0.545,0.47,0.86,0.558,0.84,0.98,0.83,0.729,8.47,2.55,0.0,0.04600527216550398,-0.17824385315041352,-0.2630761098009895,0.03159667176898715,-0.3931340445366104,0.015368457191489554,0.5145981371581151,0.20200798809191503,-0.14236435951611862,0.6503789197673743,0.43546694044282414,0.28146513431780396,-0.12466370358195708,-0.13177156359529965,-0.11399388001921933,-0.08732735465509876,-0.06066082929097823,-0.2206599814757015,0.3409877957681807
R1203,Yang-Server - S 052,0.7,0.535,0.46,0.86,0.549,0.86,0.91,0.82,0.7,9.27,3.47,0.0,-0.2175311017208358,-0.31119964104815845,-0.41340531540155456,0.03159667176898715,-0.4934440198178591,0.36372015353192977,-0.802330428902437,0.14824779771261504,-0.4455420236260368,0.4209254454675125,0.34454625884015483,0.28146513431780396,-0.2645659662286893,-0.31404535272351625,-0.30439392762324824,-0.28991678997284615,-0.2754396523224441,-0.3623024782248565,0.22626105861824983
R1203,Zheng - 462,0.572,0.46,0.36,0.73,0.468,0.75,0.79,0.33,0.572,20.57,3.24,0.0,-1.3807261312881276,-1.3083680502812447,-1.9166973714072126,-1.963507459930009,-1.396233797349097,-1.5522141763404893,-3.059922256434813,-2.4860015308730814,-1.7837055065939504,-2.82010487901804,0.36727642924082216,0.28146513431780396,-1.5128170589415788,-1.535263850992195,-1.5198100790217883,-1.4966294210661781,-1.473448763110568,-1.6125327108442287,-2.3918061694740245
R1203,dNAfold - 448,0.716,0.667,0.48,0.88,0.689,0.86,0.98,0.82,0.774,15.37,22.93,0.0,-0.07213172302492421,1.4438167592020732,-0.11274690420042359,0.3385357689534484,1.0669333734460076,0.36372015353192977,0.5145981371581151,0.14824779771261504,0.3280837399647889,-1.328657296068936,-1.5786238107119586,0.28146513431780396,0.39546540605599956,0.4196460439922418,0.3704682672905252,0.2967016022379503,0.22293493718537538,0.6655349275008248,-0.4950607635577438
R1203,dfr - 165,0.739,0.598,0.51,0.89,0.637,0.86,0.98,0.87,0.773,9.01,1.85,0.0,0.13687988385044872,0.5264218227076332,0.3382407126012741,0.492005317545679,0.48736462737657166,0.36372015353192977,0.5145981371581151,0.417048749609115,0.31762933775410207,0.4954978246149676,0.5046457199231159,0.28146513431780396,0.4314789870090347,0.3338474730531187,0.3141507141328516,0.28460557575245116,0.2550604373720507,0.4323312676544536,0.4937515710803233
