frame,rmsd
1,1.7864378924451811
2,2.3692280175315403
3,2.9103967611120667
4,3.422217284453225
5,3.643927905748772
6,4.022456762734354
7,4.203770130351609
8,4.423354063952121
9,4.538244396973817
10,4.640908704292059
11,4.6588417097009565
12,4.6723210068649434
13,4.925373296126958
14,4.881938743503728
15,5.01481351855771
16,5.191941270291769
17,5.389404033955561
18,5.615645444811199
19,5.53075578934112
20,5.681781861870825
21,5.697901136556888
22,5.8037389828005495
23,5.893813390854399
24,5.7927526636062865
25,5.8105842152233675
26,5.879059371014026
27,5.842935195150284
28,5.9099796316112165
29,5.971330631421714
30,5.999655461553126
31,5.861226751368764
32,5.921160138857441
33,5.995187318512801
34,6.064750823845191
35,6.0977481970888965
36,5.935292100975514
37,5.988324653518577
38,5.90231771420043
39,5.988910149924453
40,5.880310734909496
41,6.000126403124849
42,5.876297557796362
43,5.6882246796587586
44,5.69491723259737
45,5.501827409594022
46,5.612913129716727
47,5.737890385196897
48,5.664988604970921
49,5.679715373958442
50,5.6395503909604985
51,5.593978073682272
52,5.683609187329584
53,5.626955454464346
54,5.795032363296468
55,5.9895111135959365
56,6.1283007414574175
57,5.990854413894997
58,5.651139970833609
59,5.789079648375298
60,5.851778453797323
61,5.819130109462493
62,5.968692793984838
63,5.926012219392769
64,5.793605689199828
65,5.6295526483783584
66,5.596672407078051
67,5.7446416170579795
68,5.691842344557255
69,5.6522417489572545
70,5.736949162361725
71,5.770895291295787
72,5.669481591811562
73,5.645279338175461
74,5.652612737406613
75,5.593034870048354
76,5.6100485373891535
77,5.7407326085732375
78,5.840152234912675
79,5.7818492735574125
80,5.9762548188058195
81,5.941955755689823
82,5.984962245567768
83,6.049822855634473
84,6.183595378557255
85,6.267247363096012
86,6.064499847351303
87,5.977789808504709
88,6.013723649415728
89,5.8896263271756535
90,5.894832935820941
91,5.885836723732741
92,5.934774140028823
93,5.799852091591048
94,5.804098090573442
95,5.772555152290908
96,5.770208441809825
97,5.6972272876668155
98,5.744373870342336
99,5.643719616647463
100,5.526300689117356
101,5.6381935808740264
102,5.458739795004093
103,5.535579720948926
104,5.272618009026698
105,5.262416984250625
106,5.2572142962073976
107,5.273130954537379
108,5.298503388102495
109,5.240845682091341
110,5.099570329550402
111,5.102932727258134
112,5.241815657184807
113,5.29022758199207
114,5.5232797164001655
115,5.419150452826454
116,5.449291370833951
117,5.404230100855844
118,5.2993729030718395
119,5.407524392437264
120,5.4794082261551145
121,5.445593702272395
122,5.412537551955956
123,5.393414271807998
124,5.23290116849622
125,5.462266116484944
126,5.481588152593411
127,5.552351044644735
128,5.584222970043385
129,5.684791580280271
130,5.809932228142744
131,5.825076429624066
132,5.789598746524006
133,5.691948741813627
134,5.685828473417109
135,5.867762132642499
136,5.970333607164672
137,5.94008490580858
138,5.892792267556372
139,5.910231666512621
140,5.974402685640539
141,6.017848413037503
142,5.929910454737416
143,5.752576204154544
144,5.877727550927929
145,5.826435893574408
146,5.8988173513371684
147,5.918292291806217
148,5.742895761693786
149,5.714496167427315
150,5.625806644810323
151,5.869823104834378
152,5.7581184490015955
153,5.718016366721598
154,5.743075190156265
155,5.8466876875491485
156,5.767145201860453
157,5.865277451324698
158,5.847403984956297
159,5.9068759787582925
160,5.750898227280166
161,5.731709813939165
162,5.530567176719067
163,5.367859232554416
164,5.588226060979613
165,5.6628648851916195
166,5.6464077745891785
167,5.556817882972766
168,5.471213876488504
169,5.515381135572937
170,5.571200650168969
171,5.561318469868339
172,5.54804618260751
173,5.555522074327085
174,5.516487190959384
175,5.482691316344124
176,5.473644739995004
177,5.483985975587071
178,5.417111886915844
179,5.368330387423326
180,5.398723973002795
181,5.495022607028361
182,5.4995962887832
183,5.781286833272646
184,5.845553186657364
185,5.83521762303075
186,5.93905277809891
187,5.83577757304356
188,5.728214193772003
189,5.735706678158458
190,5.641752285550054
191,5.5360634538038305
192,5.620151269484899
193,5.587022352766679
194,5.61814434960571
195,5.6084603178649255
196,5.714973347747804
197,5.587191200488487
198,5.501657178818496
199,5.530380807355346
200,5.607579091358071
201,5.649094557313823
202,5.7107991323625145
203,5.690183825136
204,5.704056067676113
205,5.67458425084747
206,5.689600143413806
207,5.780674482357575
208,5.798190421868811
209,5.597525014212851
210,5.686922501478145
211,5.87646599727582
212,6.071153982404048
213,6.120090490352162
214,6.2191032922122
215,6.068348370838826
216,6.041493901769087
217,6.041352542691959
218,5.959208321503176
219,6.063236325305627
220,5.9065553170424625
221,5.9257625468830994
222,6.122406464169174
223,6.167999072978602
224,6.044314413559539
225,6.194312157791047
226,6.159921344680396
227,6.216439634351752
228,6.2843758433813015
229,6.44713893268376
230,6.369505517935374
231,6.442032354090578
232,6.498498814789988
233,6.570227607115159
234,6.744443102849492
235,6.736557006084913
236,6.678152977018105
237,6.628647581089478
238,6.50802543478349
239,6.544159285040347
240,6.547148375696777
241,6.529494657884663
242,6.523522977934875
243,6.4819192571988395
244,6.347774554340297
245,6.421453958425089
246,6.433379751382205
247,6.523814383177002
248,6.491072634807112
249,6.5325771270491355
250,6.526696213930654
251,6.578367582648489
252,6.677171348516517
253,6.575486828164779
254,6.430703369788623
255,6.392152046008104
256,6.363676747040473
257,6.369679430175988
258,6.448029569489097
259,6.230882173523563
260,6.402403839191947
261,6.528362608683378
262,6.54109870505739
263,6.274663208396474
264,6.297131060677661
265,6.254691680360397
266,6.251598854933233
267,6.13041154521617
268,6.037524657119037
269,6.024729909855428
270,5.93439080457564
271,5.803301367116387
272,5.82567705423011
273,5.884540935739417
274,5.983697820776204
275,5.997796194563841
276,6.080503276599488
277,5.984483050314573
278,5.759685023896098
279,5.659907715510522
280,5.720285573399842
281,5.9405879520757185
282,5.924284812238349
283,5.778165669264736
284,5.724800534623545
285,5.675321425194293
286,5.7122590625266785
287,5.770062572352372
288,6.076199109431727
289,6.149334320570898
290,6.084884374263799
291,6.025856458454095
292,6.086236095507248
293,6.04942295213038
294,5.849007815163772
295,5.8634664800477525
296,5.87634700709261
297,5.946752765012822
298,6.028437877303654
299,5.993667105972192
300,5.9299833863588
301,6.049163849748998
302,6.278699475853065
303,6.283700517499325
304,6.176047292586577
305,6.223562444827784
306,6.250917698833224
307,6.195102865030378
308,6.122692373070006
309,6.140825009042467
310,6.1404213217109
311,6.102612975160233
312,5.967682602130204
313,5.881097983494896
314,6.112956125917428
315,6.01768394204045
316,6.089015683527594
317,6.055278444212775
318,6.007220725993914
319,6.05369965487955
320,6.11371608095155
321,6.217205134030364
322,6.199718132177657
323,6.242920386691947
324,6.452341412435495
325,6.415495339362644
326,6.343378540919142
327,6.266143679629754
328,6.297182097937251
329,6.338554643901434
330,6.244051370003285
331,6.19670107892971
332,6.114337845679125
333,6.242626126215809
334,6.2359148481786475
335,6.41894464722167
336,6.747294181526992
337,6.728193243749403
338,6.573055723950637
339,6.6654003554711885
340,6.704429637139622
341,6.5125660690784555
342,6.46205401410099
343,6.655454994599565
344,6.621580128181825
345,6.708734475319175
346,6.802380578922842
