#Model         Gr.Code  ICS(F1)   Prec.Iface  Recal.Iface  IPS        QSglob   QSbest   lDDT       ilDDT      GDT_TS     RMSD       TMscore    TMalign    GlobDockQ    BestDockQ  Mol.Size  Stoich.  MDL.Conts  REF.Conts  MDL.Clash  ICS_Interfaces                           ICS_perInterface

R0250TS167_5o  167      0.000     0.000      0.000       0.036      0.000    0.000    0.237      0.000      0.011      100.243    0.138      0.089      0.002        0.006      4        A4       93         366        1378       -                                        [None, 0.082, None, None, 0.067, 0.0]    
R0250TS304_3o  304s     0.000     0.000      0.000       0.079      0.000    0.000    0.000      0.000      0.009      97.278     0.112      0.066      0.002        0.004      3        A3       17410      366        96299      -                                        [None, None, None, 0.042, 0.043, None]   
R0250TS304_2o  304s     0.000     0.000      0.000       0.079      0.000    0.000    0.000      0.000      0.010      97.141     0.108      0.058      0.002        0.004      3        A3       17935      366        100437     -                                        [0.042, None, 0.043, None, None, None]   
R0250TS110_4o  110s     0.000     0.000      0.000       0.019      0.000    0.000    0.173      0.001      0.010      80.620     0.127      0.081      0.002        0.004      3        A3       57         366        718        -                                        [None, 0.069, None, None, None, None]    
R0250TS110_5o  110s     0.000     0.000      0.000       0.019      0.000    0.000    0.173      0.001      0.010      80.620     0.127      0.081      0.002        0.004      3        A3       57         366        718        -                                        [None, 0.069, None, None, None, None]    
R0250TS241_2o  241      0.000     0.000      0.000       0.066      0.000    0.000    0.188      0.000      0.010      72.878     0.158      0.094      0.003        0.006      3        A3       184        366        495        -                                        [None, 0.107, None, None, None, 0.117]   
R0250TS272_4o  272      0.000     0.000      0.000       0.072      0.000    0.000    0.357      0.000      0.012      100.227    0.221      0.166      0.001        0.007      8        A8       2024       366        2435       -                                        [0.056, 0.0, 0.056, 0.056, 0.056, 0.056] 
R0250TS462_5o  462      0.000     0.000      0.000       0.000      0.000    0.000    0.178      0.000      0.010      80.108     0.105      0.064      0.002        0.004      3        A3       420        366        408        -                                        [None, None, None, None, 0.0, 0.0]       
R0250TS481_3o  481      0.000     0.000      0.000       0.043      0.000    0.000    0.118      0.000      0.010      68.422     0.097      0.069      0.002        0.002      2        A2       330        366        403        -                                        [None, 0.048, None, None, None, None]    
R0250TS462_1o  462      0.000     0.000      0.000       0.032      0.000    0.000    0.173      0.000      0.009      88.200     0.104      0.077      0.001        0.003      3        A3       465        366        533        -                                        [None, 0.039, None, None, None, None]    
R0250TS481_5o  481      0.000     0.000      0.000       0.056      0.000    0.000    0.323      0.000      0.009      106.713    0.174      0.102      0.002        0.011      6        A6       806        366        2204       -                                        [0.041, 0.056, 0.038, 0.045, 0.082, 0.044] 
